  0.28	2768	2768	U	0	unclassified
 99.72	977300	870	R	1	root
 99.34	973640	51	R1	131567	  cellular organisms
 98.93	969548	0	D	2759	    Eukaryota
 98.93	969548	0	D1	33154	      Opisthokonta
 98.93	969548	0	K	33208	        Metazoa
 98.93	969548	0	K1	6072	          Eumetazoa
 98.93	969548	0	K2	33213	            Bilateria
 98.93	969548	0	K3	33511	              Deuterostomia
 98.93	969548	0	P	7711	                Chordata
 98.93	969548	0	P1	89593	                  Craniata
 98.93	969548	0	P2	7742	                    Vertebrata
 98.93	969548	0	P3	7776	                      Gnathostomata
 98.93	969548	0	P4	117570	                        Teleostomi
 98.93	969548	0	P5	117571	                          Euteleostomi
 98.93	969548	0	P6	8287	                            Sarcopterygii
 98.93	969548	0	P7	1338369	                              Dipnotetrapodomorpha
 98.93	969548	0	P8	32523	                                Tetrapoda
 98.93	969548	0	P9	32524	                                  Amniota
 98.93	969548	0	C	40674	                                    Mammalia
 98.93	969548	0	C1	32525	                                      Theria
 98.93	969548	0	C2	9347	                                        Eutheria
 98.93	969548	0	C3	1437010	                                          Boreoeutheria
 98.93	969548	0	C4	314146	                                            Euarchontoglires
 98.93	969548	0	O	9443	                                              Primates
 98.93	969548	0	O1	376913	                                                Haplorrhini
 98.93	969548	0	O2	314293	                                                  Simiiformes
 98.93	969548	0	O3	9526	                                                    Catarrhini
 98.93	969548	0	O4	314295	                                                      Hominoidea
 98.93	969548	0	F	9604	                                                        Hominidae
 98.93	969548	0	F1	207598	                                                          Homininae
 98.93	969548	0	G	9605	                                                            Homo
 98.93	969548	969548	S	9606	                                                              Homo sapiens
  0.41	4038	998	D	2	    Bacteria
  0.18	1784	4	P	1224	      Proteobacteria
  0.17	1674	4	C	1236	        Gammaproteobacteria
  0.15	1507	0	O	91347	          Enterobacterales
  0.15	1505	0	F	543	            Enterobacteriaceae
  0.15	1502	0	F1	2890311	              Klebsiella/Raoultella group
  0.15	1501	1477	G	570	                Klebsiella
  0.00	24	24	S	573	                  Klebsiella pneumoniae
  0.00	1	1	G	160674	                Raoultella
  0.00	3	0	G	561	              Escherichia
  0.00	3	3	S	562	                Escherichia coli
  0.00	1	0	F	1903410	            Pectobacteriaceae
  0.00	1	0	G	2884243	              Musicola
  0.00	1	1	S	69223	                Musicola paradisiaca
  0.00	1	0	F	1903414	            Morganellaceae
  0.00	1	0	G	29487	              Photorhabdus
  0.00	1	1	S	291112	                Photorhabdus asymbiotica
  0.01	103	0	O	135614	          Xanthomonadales
  0.01	103	0	F	32033	            Xanthomonadaceae
  0.01	97	0	G	338	              Xanthomonas
  0.01	96	0	S	456327	                Xanthomonas euvesicatoria
  0.01	96	0	S1	359387	                  Xanthomonas euvesicatoria pv. alfalfae
  0.01	96	96	S2	1365647	                    Xanthomonas euvesicatoria pv. alfalfae CFBP 3836
  0.00	1	0	S	339	                Xanthomonas campestris
  0.00	1	0	S1	340	                  Xanthomonas campestris pv. campestris
  0.00	1	1	S2	1357998	                    Xanthomonas campestris pv. campestris str. CFBP 1712
  0.00	4	1	G	68	              Lysobacter
  0.00	1	1	S	435897	                Lysobacter capsici
  0.00	1	1	S	453783	                Lysobacter soli
  0.00	1	1	S	2763317	                Lysobacter solisilvae
  0.00	2	0	G	40323	              Stenotrophomonas
  0.00	2	0	G1	995085	                Stenotrophomonas maltophilia group
  0.00	2	2	S	40324	                  Stenotrophomonas maltophilia
  0.00	33	0	O	72274	          Pseudomonadales
  0.00	33	0	F	135621	            Pseudomonadaceae
  0.00	33	0	G	286	              Pseudomonas
  0.00	30	0	G1	136843	                Pseudomonas fluorescens group
  0.00	30	30	S	29442	                  Pseudomonas tolaasii
  0.00	1	1	S	658629	                Pseudomonas sessilinigenes
  0.00	1	0	G1	136845	                Pseudomonas putida group
  0.00	1	1	S	76759	                  Pseudomonas monteilii
  0.00	1	0	G1	136841	                Pseudomonas aeruginosa group
  0.00	1	1	S	287	                  Pseudomonas aeruginosa
  0.00	11	0	O	2887326	          Moraxellales
  0.00	11	0	F	468	            Moraxellaceae
  0.00	10	3	G	469	              Acinetobacter
  0.00	5	5	S	40215	                Acinetobacter junii
  0.00	1	1	S	40214	                Acinetobacter johnsonii
  0.00	1	0	G1	196816	                unclassified Acinetobacter
  0.00	1	1	S	2773709	                  Acinetobacter sp. ASP199
  0.00	1	0	G	475	              Moraxella
  0.00	1	1	S	34062	                Moraxella osloensis
  0.00	6	0	O	135613	          Chromatiales
  0.00	5	0	F	1046	            Chromatiaceae
  0.00	5	0	G	67575	              Rheinheimera
  0.00	4	0	G1	115860	                unclassified Rheinheimera
  0.00	4	4	S	1763998	                  Rheinheimera sp. F8
  0.00	1	1	S	2498451	                Rheinheimera mangrovi
  0.00	1	0	O1	451214	            Chromatiales incertae sedis
  0.00	1	1	G	1273155	              Thiohalobacter
  0.00	3	0	O	135622	          Alteromonadales
  0.00	3	0	F	72275	            Alteromonadaceae
  0.00	3	0	F1	2903219	              Alteromonas/Salinimonas group
  0.00	3	0	G	226	                Alteromonas
  0.00	3	3	S	589873	                  Alteromonas australica
  0.00	2	0	O	135618	          Methylococcales
  0.00	2	0	F	403	            Methylococcaceae
  0.00	1	0	G	416	              Methylomonas
  0.00	1	1	S	702114	                Methylomonas koyamae
  0.00	1	0	G	1760987	              Methylomagnum
  0.00	1	1	S	1760988	                Methylomagnum ishizawai
  0.00	2	0	O	135624	          Aeromonadales
  0.00	2	0	F	84642	            Aeromonadaceae
  0.00	2	1	G	642	              Aeromonas
  0.00	1	1	S	29489	                Aeromonas enteropelogenes
  0.00	1	0	O	118969	          Legionellales
  0.00	1	0	F	444	            Legionellaceae
  0.00	1	0	G	445	              Legionella
  0.00	1	1	S	452	                Legionella spiritensis
  0.00	1	0	O	135619	          Oceanospirillales
  0.00	1	0	F	28256	            Halomonadaceae
  0.00	1	0	G	2745	              Halomonas
  0.00	1	0	G1	2609666	                unclassified Halomonas
  0.00	1	1	S	2832500	                  Halomonas sp. FeN2
  0.00	1	0	O	135623	          Vibrionales
  0.00	1	0	F	641	            Vibrionaceae
  0.00	1	0	G	662	              Vibrio
  0.00	1	1	S	55601	                Vibrio anguillarum
  0.01	56	0	C	28216	        Betaproteobacteria
  0.01	50	2	O	80840	          Burkholderiales
  0.00	22	3	F	80864	            Comamonadaceae
  0.00	4	0	G	12916	              Acidovorax
  0.00	2	0	G1	2684926	                unclassified Acidovorax
  0.00	2	2	S	358220	                  Acidovorax sp. KKS102
  0.00	1	1	S	80869	                Acidovorax citrulli
  0.00	1	1	S	553814	                Acidovorax carolinensis
  0.00	3	0	G	28065	              Rhodoferax
  0.00	1	1	S	81479	                Rhodoferax antarcticus
  0.00	1	1	S	2527691	                Rhodoferax aquaticus
  0.00	1	0	G1	2627954	                unclassified Rhodoferax
  0.00	1	1	S	2752316	                  Rhodoferax sp. AJA081-3
  0.00	2	0	G	34072	              Variovorax
  0.00	1	1	S	436515	                Variovorax boronicumulans
  0.00	1	0	G1	663243	                unclassified Variovorax
  0.00	1	1	S	2681552	                  Variovorax sp. RKNM96
  0.00	2	0	G	52972	              Polaromonas
  0.00	2	1	G1	2638319	                unclassified Polaromonas
  0.00	1	1	S	296591	                  Polaromonas sp. JS666
  0.00	2	2	G	283	              Comamonas
  0.00	2	0	G	665874	              Limnohabitans
  0.00	2	0	G1	2626134	                unclassified Limnohabitans
  0.00	1	1	S	1678128	                  Limnohabitans sp. 63ED37-2
  0.00	1	1	S	1678129	                  Limnohabitans sp. 103DPR2
  0.00	1	0	G	47420	              Hydrogenophaga
  0.00	1	0	G1	2610897	                unclassified Hydrogenophaga
  0.00	1	1	S	795665	                  Hydrogenophaga sp. PBC
  0.00	1	0	G	80865	              Delftia
  0.00	1	1	S	180282	                Delftia tsuruhatensis
  0.00	1	0	G	219181	              Ottowia
  0.00	1	1	S	2816950	                Ottowia testudinis
  0.00	1	0	G	238749	              Diaphorobacter
  0.00	1	0	G1	2649760	                unclassified Diaphorobacter
  0.00	1	1	S	2714924	                  Diaphorobacter sp. HDW4A
  0.00	18	0	F	119060	            Burkholderiaceae
  0.00	11	2	G	44013	              Polynucleobacter
  0.00	8	3	G1	2640945	                unclassified Polynucleobacter
  0.00	1	1	S	2081052	                  Polynucleobacter sp. MG-Unter2-18
  0.00	1	1	S	1758398	                  Polynucleobacter sp. VK25
  0.00	1	1	S	2576922	                  Polynucleobacter sp. JS-Mosq-20-D10
