 23.55	228657	228657	U	0	unclassified
 76.45	742303	85051	R	1	root
 39.80	386424	234	R1	131567	  cellular organisms
 39.51	383630	98337	D	2	    Bacteria
 17.11	166174	437	P	1224	      Proteobacteria
 16.22	157521	360	C	1236	        Gammaproteobacteria
 14.72	142900	21	O	91347	          Enterobacterales
 14.68	142585	33	F	543	            Enterobacteriaceae
 14.64	142100	0	F1	2890311	              Klebsiella/Raoultella group
 14.63	142092	139658	G	570	                Klebsiella
  0.25	2412	2412	S	573	                  Klebsiella pneumoniae
  0.00	13	13	S	2058152	                  Klebsiella grimontii
  0.00	3	3	S	571	                  Klebsiella oxytoca
  0.00	2	2	S	548	                  Klebsiella aerogenes
  0.00	2	0	S	1463165	                  Klebsiella quasipneumoniae
  0.00	2	2	S1	1463164	                    Klebsiella quasipneumoniae subsp. similipneumoniae
  0.00	1	1	S	244366	                  Klebsiella variicola
  0.00	1	1	S	2153354	                  Klebsiella huaxiensis
  0.00	8	4	G	160674	                Raoultella
  0.00	2	2	S	575	                  Raoultella planticola
  0.00	1	1	S	577	                  Raoultella terrigena
  0.00	1	1	S	1259973	                  Raoultella electrica
  0.03	306	0	G	561	              Escherichia
  0.03	305	305	S	562	                Escherichia coli
  0.00	1	1	S	564	                Escherichia fergusonii
  0.00	37	7	G	547	              Enterobacter
  0.00	24	5	G1	354276	                Enterobacter cloacae complex
  0.00	4	4	S	61645	                  Enterobacter asburiae
  0.00	4	4	S	158836	                  Enterobacter hormaechei
  0.00	3	3	S	550	                  Enterobacter cloacae
  0.00	3	3	S	1812935	                  Enterobacter roggenkampii
  0.00	2	2	S	69218	                  Enterobacter cancerogenus
  0.00	2	0	G2	2757714	                  unclassified Enterobacter cloacae complex
  0.00	2	2	S	1915310	                    Enterobacter cloacae complex sp. ECNIH7
  0.00	1	1	S	208224	                  Enterobacter kobei
  0.00	6	0	G1	2608935	                unclassified Enterobacter
  0.00	2	2	S	2836161	                  Enterobacter sp. SGAir0187
  0.00	2	2	S	2724468	                  Enterobacter sp. JUb54
  0.00	1	1	S	1914861	                  Enterobacter sp. SA187
  0.00	1	1	S	2742676	                  Enterobacter sp. RHBSTW-00994
  0.00	24	9	G	544	              Citrobacter
  0.00	5	1	G1	2644389	                unclassified Citrobacter
  0.00	2	2	S	2742624	                  Citrobacter sp. RHB25-C09
  0.00	1	1	S	1573676	                  Citrobacter sp. R56
  0.00	1	1	S	2861800	                  Citrobacter sp. Colony475
  0.00	4	0	G1	1344959	                Citrobacter freundii complex
  0.00	3	3	S	546	                  Citrobacter freundii
  0.00	1	1	S	1639133	                  Citrobacter portucalensis
  0.00	2	2	S	67825	                Citrobacter rodentium
  0.00	1	1	S	545	                Citrobacter koseri
  0.00	1	1	S	35703	                Citrobacter amalonaticus
  0.00	1	1	S	1748967	                Citrobacter cronae
  0.00	1	1	S	2562449	                Citrobacter tructae
  0.00	11	3	G	590	              Salmonella
  0.00	8	3	S	28901	                Salmonella enterica
  0.00	3	0	S1	59201	                  Salmonella enterica subsp. enterica
  0.00	2	2	S2	119912	                    Salmonella enterica subsp. enterica serovar Choleraesuis
  0.00	1	0	S2	1242085	                    Salmonella enterica subsp. enterica serovar Macclesfield
  0.00	1	1	S3	1242107	                      Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643
  0.00	2	0	S1	59202	                  Salmonella enterica subsp. salamae
  0.00	1	0	S2	1243601	                    Salmonella enterica subsp. salamae serovar 55:k:z39
  0.00	1	1	S3	1243602	                      Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K
  0.00	1	1	S2	1710356	                    Salmonella enterica subsp. salamae serovar 57:z29:z42
  0.00	11	3	G	1330547	              Kosakonia
  0.00	2	2	S	551989	                Kosakonia arachidis
  0.00	2	2	S	1646340	                Kosakonia pseudosacchari
  0.00	2	0	G1	2632876	                unclassified Kosakonia
  0.00	2	2	S	2067958	                  Kosakonia sp. MUSA4
  0.00	1	0	S	208223	                Kosakonia cowanii
  0.00	1	1	S1	1300165	                  Kosakonia cowanii JCM 10956 = DSM 18146
  0.00	1	1	S	1158459	                Kosakonia sacchari
  0.00	11	0	F1	191675	              Enterobacteriaceae incertae sedis
  0.00	11	0	F2	84563	                ant, tsetse, mealybug, aphid, etc. endosymbionts
  0.00	3	0	G	1682492	                  Candidatus Tachikawaea
  0.00	3	3	S	1410383	                    Candidatus Tachikawaea gelatinosa
  0.00	2	0	F3	84564	                  ant endosymbionts
  0.00	2	0	G	203804	                    Candidatus Blochmannia
  0.00	1	0	S	251535	                      Candidatus Blochmannia vafer
  0.00	1	1	S1	859654	                        Candidatus Blochmannia vafer str. BVAF
  0.00	1	0	G1	711328	                      unclassified Candidatus Blochmannia
  0.00	1	1	S	700220	                        Blochmannia endosymbiont of Camponotus sp.
  0.00	2	0	G	1906659	                  Candidatus Hoaglandella
  0.00	2	2	S	1778263	                    Candidatus Hoaglandella endobia
  0.00	1	0	G	801	                  Symbiopectobacterium
  0.00	1	1	S	2871826	                    Symbiopectobacterium purcellii
  0.00	1	0	F3	146507	                  aphid secondary symbionts
  0.00	1	1	S	1199245	                    secondary endosymbiont of Ctenarytaina eucalypti
  0.00	1	0	G	1906660	                  Candidatus Mikella
  0.00	1	1	S	1778264	                    Candidatus Mikella endobia
  0.00	1	0	G	1906661	                  Candidatus Gullanella
  0.00	1	1	S	1070130	                    Candidatus Gullanella endobia
  0.00	8	3	G	158483	              Cedecea
  0.00	4	4	S	158822	                Cedecea neteri
  0.00	1	1	S	158823	                Cedecea lapagei
  0.00	8	1	F1	36866	              unclassified Enterobacteriaceae
  0.00	2	2	S	2675775	                Enterobacteriaceae endosymbiont of Donacia clavipes
  0.00	2	2	S	2675794	                Enterobacteriaceae endosymbiont of Plateumaris consimilis
  0.00	1	1	S	2675795	                Enterobacteriaceae endosymbiont of Plateumaris pusilla
  0.00	1	1	S	2675792	                Enterobacteriaceae endosymbiont of Neohaemonia nigricornis
  0.00	1	1	S	2675780	                Enterobacteriaceae endosymbiont of Donacia piscatrix
  0.00	6	2	G	413496	              Cronobacter
  0.00	2	0	S	1163710	                Cronobacter condimenti
